Sat Mar 24 12:39:23 2018    /home/nicky/pos/restats_2

         246937820 function calls (246147762 primitive calls) in 510.971 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      372    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      446    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
       29    0.000    0.000    0.023    0.001 sre_compile.py:493(compile)
       31    0.000    0.000    0.001    0.000 _inspect.py:159(formatargspec)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
       99    0.000    0.000    0.001    0.000 sre_compile.py:354(_simple)
      272    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       58    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
       10    0.000    0.000    0.001    0.000 arrayprint.py:639(__init__)
       22    0.000    0.000    0.000    0.000 threading.py:259(__init__)
       29    0.000    0.000    0.013    0.000 sre_parse.py:675(parse)
      117    0.000    0.000    0.001    0.000 re.py:134(match)
      111    0.000    0.000    0.000    0.000 numeric.py:2701(__init__)
      378    0.000    0.000    0.000    0.000 {ord}
      111    0.000    0.000    0.001    0.000 numeric.py:2705(__enter__)
      223    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
      111    0.000    0.000    0.001    0.000 numeric.py:2710(__exit__)
       10    0.000    0.000    0.013    0.001 _tqdm.py:1098(close)
       10    0.000    0.000    0.001    0.000 _tqdm.py:471(_decr_instances)
        1    0.000    0.000    0.000    0.000 _tqdm.py:161(tqdm)
    14/13    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       10    0.000    0.000    0.005    0.000 _tqdm.py:445(__new__)
       38    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      270    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
       10    0.000    0.000    0.000    0.000 network.py:9(__init__)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:304(_add_aliases)
       63    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
       11    0.000    0.000    0.001    0.000 threading.py:656(__init__)
       10    0.000    0.000    0.000    0.000 {fcntl.ioctl}
      191    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
        5    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
       30    0.000    0.000    0.000    0.000 {method 'compress' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.011    0.001 arrayprint.py:343(array2string)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
       23    0.000    0.000    0.001    0.000 core.py:5997(getdoc)
        1    0.000    0.000    0.054    0.054 platform.py:1023(_syscmd_uname)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
       30    0.000    0.000    0.005    0.000 arrayprint.py:533(__init__)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
       40    0.000    0.000    0.001    0.000 _inspect.py:120(getargspec)
       10    0.000    0.000    0.002    0.000 threading.py:308(wait)
       30    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
       29    0.000    0.000    0.009    0.000 sre_compile.py:478(_code)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.002    0.002 numbers.py:6(<module>)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
       10    0.000    0.000    0.004    0.000 _tqdm.py:105(__init__)
       10    0.000    0.000    0.003    0.000 threading.py:726(start)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
       30    0.000    0.000    0.001    0.000 fromnumeric.py:1762(any)
        1    0.000    0.000    0.000    0.000 _inspect.py:7(<module>)
       20    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
       40    0.000    0.000    0.001    0.000 core.py:109(get_object_signature)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
      147    0.000    0.000    0.000    0.000 {_sre.getlower}
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       58    0.000    0.000    0.000    0.000 sre_compile.py:472(isstring)
       10    0.000    0.000    0.000    0.000 _tqdm.py:460(_get_free_pos)
       10    0.000    0.000    0.000    0.000 abc.py:128(__instancecheck__)
   109/95    0.000    0.000    0.001    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 utils.py:1400(WarningManager)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       10    0.000    0.000    0.001    0.000 collections.py:438(__init__)
       20    0.000    0.000    0.007    0.000 _tqdm.py:1117(fp_write)
       44    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.001    0.001 linecache.py:68(updatecache)
       50    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
      117    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       10    0.000    0.000    0.000    0.000 threading.py:627(_newname)
        1    0.000    0.000    0.000    0.000 _datasource.py:499(Repository)
        4    0.000    0.000    0.002    0.001 warnings.py:45(filterwarnings)
       36    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
      136    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
       11    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       22    0.000    0.000    0.000    0.000 threading.py:241(Condition)
      117    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       12    0.000    0.000    0.001    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
       43    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       99    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       54    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
       27    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       10    0.000    0.000    0.002    0.000 threading.py:602(wait)
       10    0.000    0.000    0.003    0.000 arrayprint.py:700(__init__)
       30    0.000    0.000    0.000    0.000 numeric.py:462(asanyarray)
       30    0.000    0.000    0.000    0.000 _methods.py:31(_any)
       29    0.000    0.000    0.000    0.000 {_sre.compile}
       30    0.000    0.000    0.023    0.001 re.py:188(compile)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
       29    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       11    0.000    0.000    0.000    0.000 threading.py:560(__init__)
      112    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
       10    0.000    0.000    0.000    0.000 fromnumeric.py:1281(ravel)
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
       37    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       20    0.000    0.000    0.000    0.000 {numpy.core.multiarray.zeros}
       10    0.000    0.000    0.011    0.001 numeric.py:1581(array_str)
       46    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
       43    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.014    0.014 platform.py:10(<module>)
        2    0.000    0.000    0.000    0.000 {posix.stat}
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
       10    0.000    0.000    0.000    0.000 {method 'encode' of 'unicode' objects}
        5    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
       98    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       10    0.000    0.000    0.000    0.000 threading.py:709(_set_daemon)
       40    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
        1    0.000    0.000    0.055    0.055 platform.py:1189(uname)
       40    0.000    0.000    0.000    0.000 numerictypes.py:157(english_upper)
       45    0.000    0.000    0.000    0.000 threading.py:58(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       31    0.000    0.000    0.000    0.000 _inspect.py:39(iscode)
       45    0.000    0.000    0.000    0.000 {repr}
       10    0.000    0.000    0.000    0.000 numeric.py:392(asarray)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       20    0.000    0.000    0.000    0.000 _tqdm.py:920(__hash__)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:108(remove)
       34    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        1    0.000    0.000    0.000    0.000 _tqdm_gui.py:9(<module>)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
        2    0.000    0.000    0.000    0.000 posixpath.py:336(normpath)
       73    0.000    0.000    0.000    0.000 {globals}
       34    0.000    0.000    0.000    0.000 {thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
       37    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       10    0.000    0.000    0.000    0.000 arrayprint.py:716(__init__)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
       29    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       10    0.000    0.000    0.000    0.000 arrayprint.py:689(__init__)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
        6    0.000    0.000    0.005    0.001 string.py:148(substitute)
       23    0.000    0.000    0.001    0.000 core.py:5992(__init__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       11    0.000    0.000    0.000    0.000 threading.py:541(Event)
        1    0.000    0.000    0.000    0.000 numbers.py:34(Complex)
