Sat Mar 24 12:11:34 2018    /home/nicky/pos/restats

         487005348 function calls (486224466 primitive calls) in 1022.844 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   191/29    0.003    0.000    0.007    0.000 sre_compile.py:32(_compile)
       10    0.003    0.000    0.004    0.000 metrics.py:75(timing_chain)
        1    0.003    0.003    0.166    0.166 type_check.py:3(<module>)
        1    0.003    0.003    0.003    0.003 __init__.py:10(<module>)
        1    0.002    0.002    0.004    0.004 runner.py:1(<module>)
        1    0.002    0.002    0.004    0.004 synchronize.py:36(<module>)
        1    0.002    0.002    0.002    0.002 forking.py:35(<module>)
      944    0.002    0.000    0.003    0.000 sre_parse.py:182(__next)
        1    0.002    0.002    0.005    0.005 _main.py:1(<module>)
        1    0.002    0.002    0.277    0.277 add_newdocs.py:10(<module>)
        1    0.002    0.002    0.003    0.003 arrayprint.py:5(<module>)
        1    0.002    0.002    0.041    0.041 polynomial.py:4(<module>)
        1    0.002    0.002    0.002    0.002 process.py:35(<module>)
       80    0.001    0.000    0.004    0.000 arrayprint.py:598(__call__)
        1    0.001    0.001    0.007    0.007 _internal.py:6(<module>)
        1    0.001    0.001    0.002    0.002 utils.py:4(<module>)
        1    0.001    0.001    0.001    0.001 signals.py:1(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:3(<module>)
        1    0.001    0.001    0.010    0.010 __init__.py:178(RLock)
      864    0.001    0.000    0.002    0.000 sre_parse.py:130(__getitem__)
     1000    0.001    0.000    0.001    0.000 metrics.py:139(main_chain_size)
       10    0.001    0.000    0.001    0.000 {thread.start_new_thread}
        1    0.001    0.001    0.001    0.001 fromnumeric.py:3(<module>)
        1    0.001    0.001    0.005    0.005 main.py:1(<module>)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
      666    0.001    0.000    0.002    0.000 string.py:158(convert)
        2    0.001    0.001    0.002    0.001 collections.py:288(namedtuple)
      790    0.001    0.000    0.004    0.000 sre_parse.py:201(get)
  290/128    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
      222    0.001    0.000    0.002    0.000 numeric.py:2320(seterr)
       10    0.001    0.000    0.007    0.001 arrayprint.py:639(__init__)
       30    0.001    0.000    0.001    0.000 {method 'compress' of 'numpy.ndarray' objects}
      676    0.001    0.000    0.001    0.000 {getattr}
        1    0.001    0.001    0.001    0.001 _version.py:2(<module>)
        1    0.001    0.001    0.001    0.001 _tqdm_pandas.py:1(<module>)
        1    0.001    0.001    0.002    0.002 util.py:1(<module>)
       10    0.001    0.000    0.021    0.002 arrayprint.py:233(_array2string)
      147    0.001    0.000    0.024    0.000 re.py:226(_compile)
        1    0.001    0.001    0.002    0.002 numerictypes.py:82(<module>)
      222    0.001    0.000    0.001    0.000 numeric.py:2416(geterr)
      444    0.001    0.000    0.001    0.000 sre_parse.py:138(append)
       72    0.001    0.000    0.001    0.000 sre_compile.py:207(_optimize_charset)
      124    0.001    0.000    0.001    0.000 arrayprint.py:632(_digits)
       98    0.001    0.000    0.001    0.000 {numpy.core.multiarray.array}
      906    0.001    0.000    0.001    0.000 {method 'group' of '_sre.SRE_Match' objects}
      421    0.001    0.000    0.001    0.000 sre_parse.py:126(__len__)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
    84/29    0.001    0.000    0.013    0.000 sre_parse.py:301(_parse_sub)
       72    0.001    0.000    0.002    0.000 sre_compile.py:178(_compile_charset)
       10    0.000    0.000    0.061    0.006 _tqdm.py:654(__init__)
        1    0.000    0.000    0.001    0.001 validator.py:1(<module>)
      534    0.000    0.000    0.001    0.000 sre_parse.py:195(match)
       33    0.000    0.000    0.000    0.000 block.py:80(__eq__)
        1    0.000    0.000    0.001    0.001 defmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {open}
       10    0.000    0.000    0.005    0.000 arrayprint.py:465(_formatArray)
       29    0.000    0.000    0.002    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       80    0.000    0.000    0.001    0.000 arrayprint.py:457(_extendLine)
      373    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        9    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       10    0.000    0.000    0.001    0.000 collections.py:501(update)
        3    0.000    0.000    0.001    0.000 numeric.py:346(extend_all)
      446    0.000    0.000    0.000    0.000 {numpy.core.umath.geterrobj}
      420    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
      512    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of 'file' objects}
       20    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x8f7820}
       29    0.000    0.000    0.023    0.001 sre_compile.py:493(compile)
       31    0.000    0.000    0.001    0.000 _inspect.py:159(formatargspec)
      111    0.000    0.000    0.000    0.000 numeric.py:2701(__init__)
        1    0.000    0.000    0.000    0.000 _tqdm.py:161(tqdm)
      111    0.000    0.000    0.002    0.000 numeric.py:2705(__enter__)
      111    0.000    0.000    0.001    0.000 numeric.py:2710(__exit__)
      223    0.000    0.000    0.000    0.000 {numpy.core.umath.seterrobj}
       99    0.000    0.000    0.001    0.000 sre_compile.py:354(_simple)
       58    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
      272    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       10    0.000    0.000    0.000    0.000 {fcntl.ioctl}
       10    0.000    0.000    0.005    0.001 _tqdm.py:445(__new__)
       22    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
      117    0.000    0.000    0.001    0.000 re.py:134(match)
       29    0.000    0.000    0.013    0.000 sre_parse.py:675(parse)
       10    0.000    0.000    0.001    0.000 _tqdm.py:471(_decr_instances)
       10    0.000    0.000    0.015    0.001 _tqdm.py:1098(close)
       10    0.000    0.000    0.000    0.000 network.py:9(__init__)
      378    0.000    0.000    0.000    0.000 {ord}
       11    0.000    0.000    0.001    0.000 threading.py:656(__init__)
    14/13    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
      270    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
